Name	Statistic	Cells
Specimen_001_F20_F20.fcs/cells	99.6	10328
Specimen_001_F20_F20.fcs/cells/mCherry	89.1	9206
Specimen_001_F21_F21.fcs		9690
Specimen_001_F21_F21.fcs/cells	99.6	9651
Specimen_001_F21_F21.fcs/cells/mCherry	88.3	8520
Specimen_001_F22_F22.fcs		10830
Specimen_001_F22_F22.fcs/cells	99.3	10759
Specimen_001_F22_F22.fcs/cells/mCherry	86.3	9290
Specimen_001_F23_F23.fcs		11856
Specimen_001_F23_F23.fcs/cells	99.7	11826
Specimen_001_F23_F23.fcs/cells/mCherry	80.3	9497
Specimen_001_F24_F24.fcs		13452
Specimen_001_F24_F24.fcs/cells	99.7	13406
Specimen_001_F24_F24.fcs/cells/mCherry	78.9	10579
Specimen_001_G1_G01.fcs		16644
Specimen_001_G1_G01.fcs/cells	99.8	16603
Specimen_001_G1_G01.fcs/cells/mCherry	70	11626
Specimen_001_G2_G02.fcs		15333
Specimen_001_G2_G02.fcs/cells	99.9	15312
Specimen_001_G2_G02.fcs/cells/mCherry	66.3	10146
Specimen_001_G3_G03.fcs		14307
Specimen_001_G3_G03.fcs/cells	99.8	14278
Specimen_001_G3_G03.fcs/cells/mCherry	74.7	10670
Specimen_001_G4_G04.fcs		10979
Specimen_001_G4_G04.fcs/cells	99.7	10946
Specimen_001_G4_G04.fcs/cells/mCherry	67.9	7431
Specimen_001_G5_G05.fcs		13794
Specimen_001_G5_G05.fcs/cells	99.7	13747
Specimen_001_G5_G05.fcs/cells/mCherry	72.8	10014
Specimen_001_G6_G06.fcs		13623
Specimen_001_G6_G06.fcs/cells	99.7	13580
Specimen_001_G6_G06.fcs/cells/mCherry	66.5	9030
Specimen_001_G7_G07.fcs		16302
Specimen_001_G7_G07.fcs/cells	99.8	16262
Specimen_001_G7_G07.fcs/cells/mCherry	68.2	11088
Specimen_001_G8_G08.fcs		12540
Specimen_001_G8_G08.fcs/cells	99.8	12512
Specimen_001_G8_G08.fcs/cells/mCherry	58.8	7360
Specimen_001_G9_G09.fcs		16986
Specimen_001_G9_G09.fcs/cells	99.8	16944
Specimen_001_G9_G09.fcs/cells/mCherry	63.7	10797
Specimen_001_G10_G10.fcs		13110
Specimen_001_G10_G10.fcs/cells	99.8	13090
Specimen_001_G10_G10.fcs/cells/mCherry	56.1	7346
Specimen_001_G11_G11.fcs		15390
Specimen_001_G11_G11.fcs/cells	99.7	15351
Specimen_001_G11_G11.fcs/cells/mCherry	63.9	9816
Specimen_001_G12_G12.fcs		12825
Specimen_001_G12_G12.fcs/cells	99.8	12795
Specimen_001_G12_G12.fcs/cells/mCherry	56.6	7243
Specimen_001_G13_G13.fcs		12312
Specimen_001_G13_G13.fcs/cells	99.6	12262
Specimen_001_G13_G13.fcs/cells/mCherry	82.5	10121
Specimen_001_G14_G14.fcs		10260
Specimen_001_G14_G14.fcs/cells	99.7	10229
Specimen_001_G14_G14.fcs/cells/mCherry	80.3	8216
Specimen_001_G15_G15.fcs		11742
Specimen_001_G15_G15.fcs/cells	99.6	11698
Specimen_001_G15_G15.fcs/cells/mCherry	85.9	10053
Specimen_001_G16_G16.fcs		9348
Specimen_001_G16_G16.fcs/cells	99.6	9315
Specimen_001_G16_G16.fcs/cells/mCherry	83.1	7742
Specimen_001_G17_G17.fcs		12084
Specimen_001_G17_G17.fcs/cells	99.6	12032
Specimen_001_G17_G17.fcs/cells/mCherry	89.9	10814
Specimen_001_G18_G18.fcs		10260
Specimen_001_G18_G18.fcs/cells	99.5	10207
Specimen_001_G18_G18.fcs/cells/mCherry	88.3	9013
Specimen_001_G19_G19.fcs		10773
Specimen_001_G19_G19.fcs/cells	99.5	10714
Specimen_001_G19_G19.fcs/cells/mCherry	91	9755
Specimen_001_G20_G20.fcs		8223
Specimen_001_G20_G20.fcs/cells	99.5	8179
Specimen_001_G20_G20.fcs/cells/mCherry	90.4	7392
Specimen_001_G21_G21.fcs		11913
Specimen_001_G21_G21.fcs/cells	99.8	11887
Specimen_001_G21_G21.fcs/cells/mCherry	79.5	9454
Specimen_001_G22_G22.fcs		12084
Specimen_001_G22_G22.fcs/cells	99.7	12045
Specimen_001_G22_G22.fcs/cells/mCherry	79.6	9584
Specimen_001_G23_G23.fcs		11343
Specimen_001_G23_G23.fcs/cells	99.6	11293
Specimen_001_G23_G23.fcs/cells/mCherry	95.1	10739
Specimen_001_G24_G24.fcs		9633
Specimen_001_G24_G24.fcs/cells	99.6	9599
Specimen_001_G24_G24.fcs/cells/mCherry	94.9	9113
Specimen_001_H1_H01.fcs		13395
Specimen_001_H1_H01.fcs/cells	99.8	13371
Specimen_001_H1_H01.fcs/cells/mCherry	65.1	8698
Specimen_001_H2_H02.fcs		17499
Specimen_001_H2_H02.fcs/cells	99.8	17468
Specimen_001_H2_H02.fcs/cells/mCherry	65.1	11365
Specimen_001_H3_H03.fcs		10659
Specimen_001_H3_H03.fcs/cells	99.7	10622
Specimen_001_H3_H03.fcs/cells/mCherry	69	7332
Specimen_001_H4_H04.fcs		12711
Specimen_001_H4_H04.fcs/cells	99.7	12675
Specimen_001_H4_H04.fcs/cells/mCherry	67.1	8499
Specimen_001_H5_H05.fcs		10545
Specimen_001_H5_H05.fcs/cells	99.7	10509
Specimen_001_H5_H05.fcs/cells/mCherry	65.9	6928
Specimen_001_H6_H06.fcs		14706
Specimen_001_H6_H06.fcs/cells	99.7	14669
Specimen_001_H6_H06.fcs/cells/mCherry	63.8	9355
Specimen_001_H7_H07.fcs		12426
Specimen_001_H7_H07.fcs/cells	99.7	12394
Specimen_001_H7_H07.fcs/cells/mCherry	61	7559
Specimen_001_H8_H08.fcs		14478
Specimen_001_H8_H08.fcs/cells	99.8	14442
Specimen_001_H8_H08.fcs/cells/mCherry	59	8518
Specimen_001_H9_H09.fcs		12426
Specimen_001_H9_H09.fcs/cells	99.7	12393
Specimen_001_H9_H09.fcs/cells/mCherry	57	7061
