well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
G23,D12,D12,plate1,D,12,MATa,0,1,1,env3,MATa,MATa,7852,4135,11431,9249
G24,D12,D12,plate2,D,12,MATa,0,1,1,env3,MATa,MATa,6498,2351,9088,6098
H01,D01,D1,plate3,D,01,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,12665,6468,11048,8259
H02,D01,D1,plate4,D,01,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,15216,7649,8877,6864
H03,D02,D2,plate3,D,02,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,10527,3148,8975,3981
H04,D02,D2,plate4,D,02,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,10327,4230,9937,7137
H05,D03,D3,plate3,D,03,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,9936,5209,11069,8724
H06,D03,D3,plate4,D,03,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9675,2619,7811,3664
H07,D04,D4,plate3,D,04,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9387,5136,10177,8376
H08,D04,D4,plate4,D,04,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,8965,2769,8430,4514
H09,D05,D5,plate3,D,05,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,7104,3224,8959,6630
H10,D05,D5,plate4,D,05,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,8498,2281,6804,3033
H11,D06,D6,plate3,D,06,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,16314,5522,9420,5364
H12,D06,D6,plate4,D,06,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,11107,3158,7416,3193
H13,D07,D7,plate3,D,07,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,11903,3827,9346,4646
H14,D07,D7,plate4,D,07,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,8188,2177,7461,3428
