well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
G12,D06,D6,plate2,D,06,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,14448,10419,15050,8677
G13,D07,D7,plate1,D,07,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,20812,16397,17802,12973
G14,D07,D7,plate2,D,07,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,19092,16233,19952,16329
G15,D08,D8,plate1,D,08,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,17114,13680,17458,13499
G16,D08,D8,plate2,D,08,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,19866,16380,19092,15133
G17,D09,D9,plate1,D,09,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,14362,9781,14878,7701
G18,D09,D9,plate2,D,09,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,19368,16243,18576,14985
G19,D10,D10,plate1,D,10,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,18232,14211,18662,13394
G20,D10,D10,plate2,D,10,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,19092,16268,19866,16355
G21,D11,D11,plate1,D,11,MATa,0,1,1,YPD,MATa,MATa,14878,8497,17286,6039
G22,D11,D11,plate2,D,11,MATa,0,1,1,YPD,MATa,MATa,15996,11302,17630,8172
G23,D12,D12,plate1,D,12,MATa,0,1,1,YPD,MATa,MATa,18146,8572,16254,4365
G24,D12,D12,plate2,D,12,MATa,0,1,1,YPD,MATa,MATa,15652,9743,17974,6528
H01,D01,D1,plate3,D,01,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,18404,12254,21500,10337
H02,D01,D1,plate4,D,01,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,14878,10453,17028,10724
H03,D02,D2,plate3,D,02,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,16254,13718,18318,14861
H04,D02,D2,plate4,D,02,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,14792,11810,17630,13964
H05,D03,D3,plate3,D,03,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,15652,11497,15996,9708
H06,D03,D3,plate4,D,03,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,16942,14390,17544,14281
H07,D04,D4,plate3,D,04,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,13588,10274,13846,8670
H08,D04,D4,plate4,D,04,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,16942,14618,18060,15042
H09,D05,D5,plate3,D,05,B04_a1.1_A02_1,1,0,0,YPD,a1.1_A02,A02,14448,11057,16684,11041
H10,D05,D5,plate4,D,05,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,15738,13543,17716,15197
H11,D06,D6,plate3,D,06,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,15480,12753,17630,14302
H12,D06,D6,plate4,D,06,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,15652,13116,17372,14185
H13,D07,D7,plate3,D,07,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,17028,14624,17200,14182
