well_id	sample_id	fact	name_long	cells	dark
M02	D02_A1.1_A05_2	pH7.3_B	Specimen_002_M2_M02_346.fcs	14235	7164
M03	F05_A3_H05_1	pH7.3_A	Specimen_001_M3_M03_241.fcs	12849	7867
M04	F05_A3_H05_1	pH7.3_B	Specimen_001_M4_M04_242.fcs	9312	5653
M05	MJM36_MATalpha	pH7.3_A	Specimen_001_M5_M05_243.fcs	14300	5729
M06	MJM36_MATalpha	pH7.3_B	Specimen_001_M6_M06_244.fcs	9759	4394
M07	H05_A1.1_D12_1	pH7.3_A	Specimen_001_M7_M07_245.fcs	15990	7996
M08	H05_A1.1_D12_1	pH7.3_B	Specimen_001_M8_M08_246.fcs	13325	6846
M09	MJM64_MATa	pH7.3_A	Specimen_001_M9_M09_247.fcs	22111	20834
M10	MJM64_MATa	pH7.3_B	Specimen_001_M10_M10_248.fcs	22500	21126
M11	C06_A1.1_A10_1	pH7.3_A	Specimen_001_M11_M11_249.fcs	17485	7653
M12	C06_A1.1_A10_1	pH7.3_B	Specimen_001_M12_M12_250.fcs	13023	6018
