Name	Statistic	Cells
Specimen_001_K8_K08.fcs/mCherry	46.9	2856
Specimen_001_K9_K09.fcs		9682
Specimen_001_K9_K09.fcs/mCherry	49.8	4826
Specimen_001_K10_K10.fcs		8460
Specimen_001_K10_K10.fcs/mCherry	45	3805
Specimen_001_K11_K11.fcs		6953
Specimen_001_K11_K11.fcs/mCherry	49.7	3459
Specimen_001_K12_K12.fcs		7422
Specimen_001_K12_K12.fcs/mCherry	47.3	3508
Specimen_001_K13_K13.fcs		6908
Specimen_001_K13_K13.fcs/mCherry	48.8	3371
Specimen_001_K14_K14.fcs		7987
Specimen_001_K14_K14.fcs/mCherry	45.7	3648
Specimen_001_K15_K15.fcs		7614
Specimen_001_K15_K15.fcs/mCherry	45.8	3488
Specimen_001_K16_K16.fcs		5825
Specimen_001_K16_K16.fcs/mCherry	38.2	2223
Specimen_001_K17_K17.fcs		7182
Specimen_001_K17_K17.fcs/mCherry	52.9	3797
Specimen_001_K18_K18.fcs		6462
Specimen_001_K18_K18.fcs/mCherry	49.6	3206
Specimen_001_K19_K19.fcs		7511
Specimen_001_K19_K19.fcs/mCherry	45.3	3403
Specimen_001_K20_K20.fcs		6809
Specimen_001_K20_K20.fcs/mCherry	43.2	2942
Specimen_001_K21_K21.fcs		6111
Specimen_001_K21_K21.fcs/mCherry	77.8	4754
Specimen_001_K22_K22.fcs		4844
Specimen_001_K22_K22.fcs/mCherry	78.5	3803
Specimen_001_L3_L03.fcs		14664
Specimen_001_L3_L03.fcs/mCherry	76.8	11256
Specimen_001_L4_L04.fcs		15933
Specimen_001_L4_L04.fcs/mCherry	73.1	11653
Specimen_001_L5_L05.fcs		13160
Specimen_001_L5_L05.fcs/mCherry	58.7	7729
Specimen_001_L6_L06.fcs		14429
Specimen_001_L6_L06.fcs/mCherry	55.8	8058
Specimen_001_L7_L07.fcs		14476
Specimen_001_L7_L07.fcs/mCherry	72.8	10541
Specimen_001_L8_L08.fcs		15933
Specimen_001_L8_L08.fcs/mCherry	68.8	10956
Specimen_001_L9_L09.fcs		13160
Specimen_001_L9_L09.fcs/mCherry	63.8	8400
Specimen_001_L10_L10.fcs		14006
Specimen_001_L10_L10.fcs/mCherry	62.8	8795
Specimen_001_L11_L11.fcs		12972
Specimen_001_L11_L11.fcs/mCherry	61.1	7931
Specimen_001_L12_L12.fcs		14335
Specimen_001_L12_L12.fcs/mCherry	58.7	8419
Specimen_001_L13_L13.fcs		12408
Specimen_001_L13_L13.fcs/mCherry	57.6	7145
Specimen_001_L14_L14.fcs		14852
Specimen_001_L14_L14.fcs/mCherry	59.1	8784
Specimen_001_L15_L15.fcs		12737
Specimen_001_L15_L15.fcs/mCherry	62.3	7937
Specimen_001_L16_L16.fcs		14100
Specimen_001_L16_L16.fcs/mCherry	59.8	8426
Specimen_001_L17_L17.fcs		14617
Specimen_001_L17_L17.fcs/mCherry	74.5	10887
Specimen_001_L18_L18.fcs		16732
Specimen_001_L18_L18.fcs/mCherry	71.1	11893
Specimen_001_L19_L19.fcs		13818
Specimen_001_L19_L19.fcs/mCherry	61.3	8468
Specimen_001_L20_L20.fcs		15322
Specimen_001_L20_L20.fcs/mCherry	59.6	9137
Specimen_001_L21_L21.fcs		15181
Specimen_001_L21_L21.fcs/mCherry	77	11690
Specimen_001_L22_L22.fcs		16262
Specimen_001_L22_L22.fcs/mCherry	73.3	11922
Specimen_001_M3_M03.fcs		7943
Specimen_001_M3_M03.fcs/mCherry	56	4451
Specimen_001_M4_M04.fcs		6625
Specimen_001_M4_M04.fcs/mCherry	53.1	3520
Specimen_001_M5_M05.fcs		7990
Specimen_001_M5_M05.fcs/mCherry	64	5115
Specimen_001_M6_M06.fcs		6764
Specimen_001_M6_M06.fcs/mCherry	68	4601
Specimen_001_M7_M07.fcs		9682
Specimen_001_M7_M07.fcs/mCherry	45.4	4399
Specimen_001_M8_M08.fcs		5788
Specimen_001_M8_M08.fcs/mCherry	40.8	2364
Specimen_001_M9_M09.fcs		8695
Specimen_001_M9_M09.fcs/mCherry	52.1	4532
Specimen_001_M10_M10.fcs		5389
Specimen_001_M10_M10.fcs/mCherry	47.7	2570
Specimen_001_M11_M11.fcs		7896
Specimen_001_M11_M11.fcs/mCherry	48	3792
Specimen_001_M12_M12.fcs		5681
Specimen_001_M12_M12.fcs/mCherry	43.7	2480
Specimen_001_M13_M13.fcs		10105
Specimen_001_M13_M13.fcs/mCherry	43.5	4398
Specimen_001_M14_M14.fcs		7108
Specimen_001_M14_M14.fcs/mCherry	41	2911
Specimen_001_M15_M15.fcs		8601
Specimen_001_M15_M15.fcs/mCherry	52.5	4513
Specimen_001_M16_M16.fcs		5859
Specimen_001_M16_M16.fcs/mCherry	48.1	2820
Specimen_001_M17_M17.fcs		9306
Specimen_001_M17_M17.fcs/mCherry	43.6	4057
Specimen_001_M18_M18.fcs		6767
Specimen_001_M18_M18.fcs/mCherry	41.2	2791
Specimen_001_M19_M19.fcs		5637
Specimen_001_M19_M19.fcs/mCherry	67.8	3823
Specimen_001_M20_M20.fcs		5430
Specimen_001_M20_M20.fcs/mCherry	66.4	3603
Specimen_001_M21_M21.fcs		7842
Specimen_001_M21_M21.fcs/mCherry	59.8	4686
Specimen_001_M22_M22.fcs		6991
Specimen_001_M22_M22.fcs/mCherry	57.2	4001
Specimen_001_N3_N03.fcs		14758
Specimen_001_N3_N03.fcs/mCherry	67.2	9913
Specimen_001_N4_N04.fcs		16544
Specimen_001_N4_N04.fcs/mCherry	63.9	10565
Specimen_001_N5_N05.fcs		13677
Specimen_001_N5_N05.fcs/mCherry	65.5	8954
Specimen_001_N6_N06.fcs		12429
Specimen_001_N6_N06.fcs/mCherry	62.7	7795
Specimen_001_N7_N07.fcs		12925
Specimen_001_N7_N07.fcs/mCherry	58.6	7574
Specimen_001_N8_N08.fcs		14147
Specimen_001_N8_N08.fcs/mCherry	56.2	7944
Specimen_001_N9_N09.fcs		12784
Specimen_001_N9_N09.fcs/mCherry	65.4	8355
Specimen_001_N10_N10.fcs		12972
Specimen_001_N10_N10.fcs/mCherry	64.7	8393
Specimen_001_N11_N11.fcs		12925
Specimen_001_N11_N11.fcs/mCherry	59.4	7680
Specimen_001_N12_N12.fcs		14664
Specimen_001_N12_N12.fcs/mCherry	57.6	8448
Specimen_001_N13_N13.fcs		13348
Specimen_001_N13_N13.fcs/mCherry	55.8	7448
Specimen_001_N14_N14.fcs		15980
Specimen_001_N14_N14.fcs/mCherry	53.6	8572
Specimen_001_N15_N15.fcs		12737
Specimen_001_N15_N15.fcs/mCherry	67.9	8646
Specimen_001_N16_N16.fcs		14852
Specimen_001_N16_N16.fcs/mCherry	64.3	9550
Specimen_001_N17_N17.fcs		13724
Specimen_001_N17_N17.fcs/mCherry	57.1	7838
Specimen_001_N18_N18.fcs		14899
Specimen_001_N18_N18.fcs/mCherry	53.2	7929
Specimen_001_N19_N19.fcs		14006
Specimen_001_N19_N19.fcs/mCherry	68	9529
Specimen_001_N20_N20.fcs		15322
Specimen_001_N20_N20.fcs/mCherry	67.2	10298
Specimen_001_N21_N21.fcs		14382
Specimen_001_N21_N21.fcs/mCherry	70.6	10152
Specimen_001_N22_N22.fcs		15463
Specimen_001_N22_N22.fcs/mCherry	65.9	10188
Specimen_001_O3_O03.fcs		8789
Specimen_001_O3_O03.fcs/mCherry	95.3	8372
Specimen_001_O4_O04.fcs		6850
Specimen_001_O4_O04.fcs/mCherry	95.6	6550
Specimen_001_O5_O05.fcs		7425
Specimen_001_O5_O05.fcs/mCherry	62.5	4641
Specimen_001_O6_O06.fcs		5663
Specimen_001_O6_O06.fcs/mCherry	62.1	3515
Specimen_001_O7_O07.fcs		7300
