"env","plate_block","X","well_id","well_id_96","well_id_96_no0","plate_id","F1_AP","F1_F1","F1_ID","F1","BLOCK_ID","PAR_ID","IS_ANC","kk_strain_id","regime","strain_id","parent","tot_1","ref_1","tot_2","ref_2","s_hat","plate_means","fitness_gain","unique_id","f1_unique_id","env_means","fitness_gain_adj"
"SC_0.2M_NaCl","4_4",1411,"D14","B07","B7","4","E08","C07","D04_C07",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C07","D04",19710,11460,19863,16290,-0.118849633263268,NA,-0.118849633263268,"D04_a1.1_H06_1_B07","D04_a1.1_H06_1_B07",-0.115497523764393,-0.00335210949887468
"SC_0.2M_NaCl","4_4",1412,"D16","B08","B8","4","E08","C08","D04_C08",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C08","D04",19760,12279,19835,16990,-0.129153785481744,NA,-0.129153785481744,"D04_a1.1_H06_1_B08","D04_a1.1_H06_1_B08",-0.115497523764393,-0.0136562617173507
"SC_0.2M_NaCl","4_4",1417,"F02","C01","C1","4","A10","C01","G04_C01",1,4,"",NA,"G04_a3_H09_1","sexual","G04_C01","G04",19761,9140,19622,13539,-0.095024920204775,NA,-0.095024920204775,"G04_a3_H09_1_C01","G04_a3_H09_1_C01",-0.115497523764393,0.0204726035596183
"SC_0.2M_NaCl","4_4",1418,"F04","C02","C2","4","A10","C02","G04_C02",1,4,"",NA,"G04_a3_H09_1","sexual","G04_C02","G04",19706,10530,19441,14735,-0.100375037956567,NA,-0.100375037956567,"G04_a3_H09_1_C02","G04_a3_H09_1_C02",-0.115497523764393,0.0151224858078263
"SC_0.2M_NaCl","4_4",1419,"F06","C03","C3","4","A10","C03","G04_C03",1,4,"",NA,"G04_a3_H09_1","sexual","G04_C03","G04",19707,9429,19661,14603,-0.114647148089706,NA,-0.114647148089706,"G04_a3_H09_1_C03","G04_a3_H09_1_C03",-0.115497523764393,0.00085037567468732
"SC_0.2M_NaCl","4_4",1420,"F08","C04","C4","4","A10","C04","G04_C04",1,4,"",NA,"G04_a3_H09_1","sexual","G04_C04","G04",19752,9405,19602,13703,-0.0938287101812946,NA,-0.0938287101812946,"G04_a3_H09_1_C04","G04_a3_H09_1_C04",-0.115497523764393,0.0216688135830987
"SC_0.2M_NaCl","4_4",1421,"F10","C05","C5","4","A10","C05","G04_C05",1,4,"",NA,"G04_a3_H09_1","sexual","G04_C05","G04",19677,9498,19766,14594,-0.110659654877709,NA,-0.110659654877709,"G04_a3_H09_1_C05","G04_a3_H09_1_C05",-0.115497523764393,0.00483786888668432
"SC_0.2M_NaCl","3_4",1301,"B09","A05","A5","3","F12","A05","D05_A05",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A05","D05",19808,12108,19000,15048,-0.0884377249813274,NA,-0.0884377249813274,"D05_a1.1_C12_1_A05","D05_a1.1_C12_1_A05",-0.115497523764393,0.0270597987830659
"SC_0.2M_NaCl","3_4",1302,"B11","A06","A6","3","F12","A06","D05_A06",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A06","D05",19911,14363,19488,17229,-0.10804538200673,NA,-0.10804538200673,"D05_a1.1_C12_1_A06","D05_a1.1_C12_1_A06",-0.115497523764393,0.00745214175766332
"SC_0.2M_NaCl","3_4",1303,"B13","A07","A7","3","F12","A07","D05_A07",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A07","D05",19823,10539,19621,14335,-0.0870852109613627,NA,-0.0870852109613627,"D05_a1.1_C12_1_A07","D05_a1.1_C12_1_A07",-0.115497523764393,0.0284123128030306
"SC_0.2M_NaCl","3_4",1304,"B15","A08","A8","3","F12","A08","D05_A08",1,4,"",NA,"D05_a1.1_C12_1","asexual","D05_A08","D05",19815,14464,19679,17372,-0.102453239116031,NA,-0.102453239116031,"D05_a1.1_C12_1_A08","D05_a1.1_C12_1_A08",-0.115497523764393,0.0130442846483623
"SC_0.2M_NaCl","3_4",1309,"D01","B01","B1","3","A08","A01","C04_A01",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A01","C04",19856,10413,15460,10746,-0.0726215488525864,NA,-0.0726215488525864,"C04_a3_H02_1_B01","C04_a3_H02_1_B01",-0.115497523764393,0.0428759749118069
"SC_0.2M_NaCl","3_4",1310,"D03","B02","B2","3","A08","A02","C04_A02",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A02","C04",19725,12989,19672,16829,-0.112160718757695,NA,-0.112160718757695,"C04_a3_H02_1_B02","C04_a3_H02_1_B02",-0.115497523764393,0.00333680500669832
"SC_0.2M_NaCl","3_4",1311,"D05","B03","B3","3","A08","A03","C04_A03",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A03","C04",16612,7024,19435,13111,-0.104027911340936,NA,-0.104027911340936,"C04_a3_H02_1_B03","C04_a3_H02_1_B03",-0.115497523764393,0.0114696124234573
"SC_0.2M_NaCl","3_4",1312,"D07","B04","B4","3","A08","A04","C04_A04",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A04","C04",19812,9421,18866,13192,-0.0941715055674617,NA,-0.0941715055674617,"C04_a3_H02_1_B04","C04_a3_H02_1_B04",-0.115497523764393,0.0213260181969316
"SC_0.2M_NaCl","3_4",1313,"D09","B05","B5","3","A08","A05","C04_A05",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A05","C04",19858,10082,17452,12553,-0.0910107324948434,NA,-0.0910107324948434,"C04_a3_H02_1_B05","C04_a3_H02_1_B05",-0.115497523764393,0.0244867912695499
"SC_0.2M_NaCl","3_4",1314,"D11","B06","B6","3","A08","A06","C04_A06",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A06","C04",19804,10526,16150,11928,-0.0912377247434273,NA,-0.0912377247434273,"C04_a3_H02_1_B06","C04_a3_H02_1_B06",-0.115497523764393,0.024259799020966
"SC_0.2M_NaCl","3_4",1315,"D13","B07","B7","3","A08","A07","C04_A07",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A07","C04",19822,10291,17237,12362,-0.0853787063888805,NA,-0.0853787063888805,"C04_a3_H02_1_B07","C04_a3_H02_1_B07",-0.115497523764393,0.0301188173755128
"SC_0.2M_NaCl","3_4",1316,"D15","B08","B8","3","A08","A08","C04_A08",1,4,"",NA,"C04_a3_H02_1","sexual","C04_A08","C04",19620,13682,16615,14451,-0.106409653133472,NA,-0.106409653133472,"C04_a3_H02_1_B08","C04_a3_H02_1_B08",-0.115497523764393,0.00908787063092131
"SC_0.2M_NaCl","3_4",1321,"F01","C01","C1","3","E08","A01","D04_A01",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_A01","D04",19741,11959,19699,16945,-0.138724764632824,NA,-0.138724764632824,"D04_a1.1_H06_1_C01","D04_a1.1_H06_1_C01",-0.115497523764393,-0.0232272408684307
"SC_0.2M_NaCl","3_4",1322,"F03","C02","C2","3","E08","A02","D04_A02",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_A02","D04",19710,12484,19640,17083,-0.135248692897279,NA,-0.135248692897279,"D04_a1.1_H06_1_C02","D04_a1.1_H06_1_C02",-0.115497523764393,-0.0197511691328857
"SC_0.2M_NaCl","3_4",1323,"F05","C03","C3","3","E08","A03","D04_A03",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_A03","D04",19802,8990,19593,13384,-0.095260389123244,NA,-0.095260389123244,"D04_a1.1_H06_1_C03","D04_a1.1_H06_1_C03",-0.115497523764393,0.0202371346411493
"SC_0.2M_NaCl","3_4",1324,"F07","C04","C4","3","E08","A04","D04_A04",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_A04","D04",19755,14133,18039,16540,-0.147915845457341,NA,-0.147915845457341,"D04_a1.1_H06_1_C04","D04_a1.1_H06_1_C04",-0.115497523764393,-0.0324183216929477
"SC_0.2M_NaCl","3_4",1325,"F09","C05","C5","3","E08","A05","D04_A05",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_A05","D04",19727,8171,17839,12005,-0.106823384042911,NA,-0.106823384042911,"D04_a1.1_H06_1_C05","D04_a1.1_H06_1_C05",-0.115497523764393,0.00867413972148232
"SC_0.2M_NaCl","3_4",1326,"F11","C06","C6","3","E08","A06","D04_A06",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_A06","D04",19660,8438,18179,12327,-0.103013931903814,NA,-0.103013931903814,"D04_a1.1_H06_1_C06","D04_a1.1_H06_1_C06",-0.115497523764393,0.0124835918605793
"SC_0.2M_NaCl","3_4",1327,"F13","C07","C7","3","E08","A07","D04_A07",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_A07","D04",19764,12300,19063,16426,-0.132971573911352,NA,-0.132971573911352,"D04_a1.1_H06_1_C07","D04_a1.1_H06_1_C07",-0.115497523764393,-0.0174740501469587
