"kk_pop_id","env","fitness_gain_mu_pop","fitness_gain_sd_pop"
"a3_H02","SC30C",0.00711197979712052,0.00456686270461234
"a3_H02","SC37C",0.0786806934058499,0.00661617556347761
"a3_H02","SC_0.2M_NaCl",0.00738818175269627,0.00717794154910412
"a3_H02","SC_pH7.3",0.121432353496236,0.0126216846988812
"a3_H02","YPD",0.0858904666016018,0.00294077822033319
"a3_H02","lowP",0.0357706897630244,0.00464007499550269
"a3_H03","SC30C",-0.000245324062799156,0.00476832304000945
"a3_H03","SC37C",0.0547405092277435,0.0131979014003289
"a3_H03","SC_0.2M_NaCl",-0.00589589648130623,0.0117573788003742
"a3_H03","SC_pH7.3",0.109034657753131,0.011129992041671
"a3_H03","YPD",0.0817611969691664,0.0024802787380841
"a3_H03","lowP",0.00717450111091206,0.00483170008216375
"a3_H04","SC30C",0.0126093934309074,0.00714920843387996
"a3_H04","SC37C",0.0870838834250372,0.0100191665899724
"a3_H04","SC_0.2M_NaCl",0.0121461204038132,0.00685846227061099
"a3_H04","SC_pH7.3",0.121451916054304,0.00744649995310668
"a3_H04","YPD",0.0791711096788287,0.00188704121266821
"a3_H04","lowP",0.0413240810994425,0.00292571865066125
"a3_H05","SC30C",0.00932361611745068,0.0113821173243106
"a3_H05","SC37C",0.0828246689578472,0.013054228218464
"a3_H05","SC_0.2M_NaCl",0.0121590321338366,0.00527475346430533
"a3_H05","SC_pH7.3",0.117974874352922,0.00715341623691425
"a3_H05","YPD",0.0750506114243475,0.00350346379285749
"a3_H05","lowP",0.0235131823239361,0.00510459832989319
"a3_H06","SC30C",0.000416582231636244,0.00742497334028646
"a3_H06","SC37C",0.0742685274045252,0.0140447104403107
"a3_H06","SC_0.2M_NaCl",0.00441192242258195,0.00774591590065489
"a3_H06","SC_pH7.3",0.113082539255784,0.0133966187683248
"a3_H06","YPD",0.0751000920481643,0.00455099572290334
"a3_H06","lowP",0.0382284723009626,0.0057101124460708
"a3_H07","SC30C",0.00833577662575125,0.00633649668208762
"a3_H07","SC37C",0.0697042063035595,0.0102177123356906
"a3_H07","SC_0.2M_NaCl",0.0124397214877074,0.00496336000015073
"a3_H07","SC_pH7.3",0.213944529225905,0.20450861518218
"a3_H07","YPD",0.0817850523109747,0.00514981871679256
"a3_H07","lowP",0.0363066959895476,0.0034535126288661
"a3_H09","SC30C",0.0162017716578686,0.0106234238889691
"a3_H09","SC37C",0.0747415428139176,0.00393715422999798
"a3_H09","SC_0.2M_NaCl",0.0139014208924137,0.00489870493115017
"a3_H09","SC_pH7.3",0.113755832975962,0.00855790754953662
"a3_H09","YPD",0.0867398415508386,0.00382760506510716
"a3_H09","lowP",0.0420755445005817,0.00565586598269361
"a3_H10","SC30C",-0.00100154692629573,0.00225964102666323
"a3_H10","SC37C",0.0574769506528508,0.0107394268596768
"a3_H10","SC_0.2M_NaCl",-0.000678253155185528,0.0130220602520739
"a3_H10","SC_pH7.3",0.0758574959756326,0.00634619480825317
"a3_H10","YPD",0.0830061439403858,0.00507890976659825
"a3_H10","lowP",0.0264297291496866,0.00222664654752415
"a3_H11","SC30C",0.0137684870187909,0.00350449309060043
"a3_H11","SC37C",0.0899450341204671,0.0114825346637791
"a3_H11","SC_0.2M_NaCl",0.00807033267844227,0.00578083184450947
"a3_H11","SC_pH7.3",0.128219765139143,0.01102709025049
"a3_H11","YPD",0.0910912853296953,0.0247437536811976
"a3_H11","lowP",0.0392985507553298,0.00504107531753877
